,delta_ms,prev_delta_ms,gyr_x,gyr_y,gyr_z,accel_x,accel_y,accel_z,f1,f2,f3,f4,f5
113,1255.7959999999998,23,-0.004276,0.017868,-0.009774,-0.009894321450999999,0.005324030285,0.047832523774000005,122,135,132,122,138
114,1279.411,23,-0.008705,0.015272,-0.010385,-0.009978070242,0.005300102059,0.048035913695,122,135,132,122,138
115,1303.171,23,-0.003207,0.017562,-0.009927,-0.009882357337999999,0.005288137946,0.047880380226,122,135,132,122,138
116,1326.978,23,-0.008094,0.016341,-0.009927,-0.009894321450999999,0.005276173833,0.047952164904,122,135,132,122,138
117,1351.492,24,-0.004276,0.017257,-0.009774,-0.009846464999,0.005276173833,0.047952164904,122,135,132,122,138
118,1375.405,23,-0.005498,0.016799,-0.010079,-0.009990034355,0.005180460929000001,0.047892344339,122,135,132,122,138
119,1399.9479999999999,24,-0.004734,0.017715,-0.009621,-0.009906285563999999,0.005216353268000001,0.048035913695,122,135,131,122,138
120,1427.2640000000001,27,-0.004123,0.017257,-0.009774,-0.010109675485,0.005204389155,0.047832523774000005,122,135,132,122,138
121,1451.691,24,-0.007789,0.016035,-0.010079,-0.009870393225,0.005252245607,0.047916272565,122,135,132,122,138
122,1475.518,23,-0.004123,0.017715,-0.009163,-0.010013962581,0.005276173833,0.04773681087,122,135,132,122,138
123,1498.928,23,-0.005040,0.018173,-0.009163,-0.009894321450999999,0.00526420972,0.047868416112999995,122,135,132,122,138
124,0.0,0,-0.004276,0.017715,-0.009316,-0.009343972253,0.004953142781999999,0.047796631434999994,122,135,132,122,138
125,30.04,30,-0.004276,0.018937,-0.009621,-0.009427721044,0.004965106894999999,0.047892344339,122,135,132,122,138
126,60.892,30,-0.008247,0.016646,-0.010232,-0.009152546445,0.004869393991,0.047976093129999994,122,135,132,122,138
127,90.97,30,-0.006720,0.016341,-0.009163,-0.009475577495999999,0.004965106894999999,0.047820559661,122,135,132,122,138
128,118.21600000000001,27,-0.004429,0.018021,-0.009316,-0.009343972253,0.005012963347,0.047916272565,122,135,132,122,138
